world_cup_year,match_date,stage,team_rank,team_goals,opponent_goals,opponent_code,opponent,opponent_rank,opponent_confederation,result,team_shootout_goals,opponent_shootout_goals,extra_time,status,ranking_date,ranking_source_url,match_source_url
1994,1994-06-21,Group stage,29,0,3,NGA,Nigeria,11,CAF,loss,,,False,completed,1994-06-14,https://www.fifa.com/fifa-world-ranking/men?dateId=id11,https://www.fifa.com/en/tournaments/mens/worldcup/usa1994
1994,1994-06-26,Group stage,29,4,0,GRE,Greece,31,UEFA,win,,,False,completed,1994-06-14,https://www.fifa.com/fifa-world-ranking/men?dateId=id11,https://www.fifa.com/en/tournaments/mens/worldcup/usa1994
1994,1994-06-30,Group stage,29,2,0,ARG,Argentina,8,CONMEBOL,win,,,False,completed,1994-06-14,https://www.fifa.com/fifa-world-ranking/men?dateId=id11,https://www.fifa.com/en/tournaments/mens/worldcup/usa1994
1994,1994-07-05,Round of 16,29,1,1,MEX,Mexico,16,CONCACAF,win,3,1,True,completed,1994-06-14,https://www.fifa.com/fifa-world-ranking/men?dateId=id11,https://www.fifa.com/en/tournaments/mens/worldcup/usa1994
1994,1994-07-10,Quarter-final,29,2,1,GER,Germany,1,UEFA,win,,,False,completed,1994-06-14,https://www.fifa.com/fifa-world-ranking/men?dateId=id11,https://www.fifa.com/en/tournaments/mens/worldcup/usa1994
1994,1994-07-13,Semi-final,29,1,2,ITA,Italy,4,UEFA,loss,,,False,completed,1994-06-14,https://www.fifa.com/fifa-world-ranking/men?dateId=id11,https://www.fifa.com/en/tournaments/mens/worldcup/usa1994
1994,1994-07-16,Third-place play-off,29,0,4,SWE,Sweden,10,UEFA,loss,,,False,completed,1994-06-14,https://www.fifa.com/fifa-world-ranking/men?dateId=id11,https://www.fifa.com/en/tournaments/mens/worldcup/usa1994
1998,1998-06-12,Group stage,35,0,0,PAR,Paraguay,29,CONMEBOL,draw,,,False,completed,1998-05-20,https://web.archive.org/web/20160222025820/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=50/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/france1998
1998,1998-06-19,Group stage,35,0,1,NGA,Nigeria,74,CAF,loss,,,False,completed,1998-05-20,https://web.archive.org/web/20160222025820/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=50/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/france1998
1998,1998-06-24,Group stage,35,1,6,ESP,Spain,15,UEFA,loss,,,False,completed,1998-05-20,https://web.archive.org/web/20160222025820/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=50/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/france1998
