world_cup_year,match_date,stage,team_rank,team_goals,opponent_goals,opponent_code,opponent,opponent_rank,opponent_confederation,result,team_shootout_goals,opponent_shootout_goals,extra_time,status,ranking_date,ranking_source_url,match_source_url
2006,2006-06-10,Group stage,32,1,2,ARG,Argentina,9,CONMEBOL,loss,,,False,completed,2006-05-17,https://inside.fifa.com/fifa-world-ranking,https://www.fifa.com/en/tournaments/mens/worldcup/germany2006
2006,2006-06-16,Group stage,32,1,2,NED,Netherlands,3,UEFA,loss,,,False,completed,2006-05-17,https://inside.fifa.com/fifa-world-ranking,https://www.fifa.com/en/tournaments/mens/worldcup/germany2006
2006,2006-06-21,Group stage,32,3,2,SCG,Serbia and Montenegro,44,UEFA,win,,,False,completed,2006-05-17,https://inside.fifa.com/fifa-world-ranking,https://www.fifa.com/en/tournaments/mens/worldcup/germany2006
2010,2010-06-15,Group stage,27,0,0,POR,Portugal,3,UEFA,draw,,,False,completed,2010-05-26,https://web.archive.org/web/20191006015211/https://www.fifa.com/fifa-world-ranking/ranking-table/men/rank/id9054/,https://www.fifa.com/en/tournaments/mens/worldcup/southafrica2010
2010,2010-06-20,Group stage,27,1,3,BRA,Brazil,1,CONMEBOL,loss,,,False,completed,2010-05-26,https://web.archive.org/web/20191006015211/https://www.fifa.com/fifa-world-ranking/ranking-table/men/rank/id9054/,https://www.fifa.com/en/tournaments/mens/worldcup/southafrica2010
2010,2010-06-25,Group stage,27,3,0,PRK,Korea DPR,105,AFC,win,,,False,completed,2010-05-26,https://web.archive.org/web/20191006015211/https://www.fifa.com/fifa-world-ranking/ranking-table/men/rank/id9054/,https://www.fifa.com/en/tournaments/mens/worldcup/southafrica2010
2014,2014-06-14,Group stage,23,2,1,JPN,Japan,46,AFC,win,,,False,completed,2014-06-05,https://web.archive.org/web/20141107005059/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=239/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/brazil2014
2014,2014-06-19,Group stage,23,1,2,COL,Colombia,8,CONMEBOL,loss,,,False,completed,2014-06-05,https://web.archive.org/web/20141107005059/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=239/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/brazil2014
2014,2014-06-24,Group stage,23,1,2,GRE,Greece,12,UEFA,loss,,,False,completed,2014-06-05,https://web.archive.org/web/20141107005059/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=239/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/brazil2014
2026,2026-06-14,Group stage,33,1,0,ECU,Ecuador,23,CONMEBOL,win,,,False,completed,2026-06-11,https://inside.fifa.com/fifa-world-ranking/men?dateId=id11944,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026
2026,2026-06-20,Group stage,33,1,2,GER,Germany,10,UEFA,loss,,,False,completed,2026-06-11,https://inside.fifa.com/fifa-world-ranking/men?dateId=id11944,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026
2026,2026-06-25,Group stage,33,2,0,CUW,Curaçao,82,CONCACAF,win,,,False,completed,2026-06-11,https://inside.fifa.com/fifa-world-ranking/men?dateId=id11944,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026
2026,2026-06-30,Group stage,33,1,2,NOR,Norway,31,UEFA,loss,,,False,completed,2026-06-11,https://inside.fifa.com/fifa-world-ranking/men?dateId=id11944,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026
