world_cup_year,match_date,stage,team_rank,team_goals,opponent_goals,opponent_code,opponent,opponent_rank,opponent_confederation,result,team_shootout_goals,opponent_shootout_goals,extra_time,status,ranking_date,ranking_source_url,match_source_url
1994,1994-06-17,Group stage,1,1,0,BOL,Bolivia,43,CONMEBOL,win,,,False,completed,1994-06-14,https://www.fifa.com/fifa-world-ranking/men?dateId=id11,https://www.fifa.com/en/tournaments/mens/worldcup/usa1994
1994,1994-06-21,Group stage,1,1,1,ESP,Spain,5,UEFA,draw,,,False,completed,1994-06-14,https://www.fifa.com/fifa-world-ranking/men?dateId=id11,https://www.fifa.com/en/tournaments/mens/worldcup/usa1994
1994,1994-06-27,Group stage,1,3,2,KOR,Korea Republic,37,AFC,win,,,False,completed,1994-06-14,https://www.fifa.com/fifa-world-ranking/men?dateId=id11,https://www.fifa.com/en/tournaments/mens/worldcup/usa1994
1994,1994-07-02,Round of 16,1,3,2,BEL,Belgium,27,UEFA,win,,,False,completed,1994-06-14,https://www.fifa.com/fifa-world-ranking/men?dateId=id11,https://www.fifa.com/en/tournaments/mens/worldcup/usa1994
1994,1994-07-10,Quarter-final,1,1,2,BUL,Bulgaria,29,UEFA,loss,,,False,completed,1994-06-14,https://www.fifa.com/fifa-world-ranking/men?dateId=id11,https://www.fifa.com/en/tournaments/mens/worldcup/usa1994
1998,1998-06-15,Group stage,2,2,0,USA,USA,11,CONCACAF,win,,,False,completed,1998-05-20,https://web.archive.org/web/20160222025820/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=50/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/france1998
1998,1998-06-21,Group stage,2,2,2,YUG,FR Yugoslavia,8,UEFA,draw,,,False,completed,1998-05-20,https://web.archive.org/web/20160222025820/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=50/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/france1998
1998,1998-06-25,Group stage,2,2,0,IRN,IR Iran,42,AFC,win,,,False,completed,1998-05-20,https://web.archive.org/web/20160222025820/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=50/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/france1998
1998,1998-06-29,Round of 16,2,2,1,MEX,Mexico,4,CONCACAF,win,,,False,completed,1998-05-20,https://web.archive.org/web/20160222025820/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=50/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/france1998
1998,1998-07-04,Quarter-final,2,0,3,CRO,Croatia,19,UEFA,loss,,,False,completed,1998-05-20,https://web.archive.org/web/20160222025820/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=50/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/france1998
