world_cup_year,match_date,stage,team_rank,team_goals,opponent_goals,opponent_code,opponent,opponent_rank,opponent_confederation,result,team_shootout_goals,opponent_shootout_goals,extra_time,status,ranking_date,ranking_source_url,match_source_url
1994,1994-06-18,Group stage,4,0,1,IRL,Republic of Ireland,14,UEFA,loss,,,False,completed,1994-06-14,https://www.fifa.com/fifa-world-ranking/men?dateId=id11,https://www.fifa.com/en/tournaments/mens/worldcup/usa1994
1994,1994-06-23,Group stage,4,1,0,NOR,Norway,6,UEFA,win,,,False,completed,1994-06-14,https://www.fifa.com/fifa-world-ranking/men?dateId=id11,https://www.fifa.com/en/tournaments/mens/worldcup/usa1994
1994,1994-06-28,Group stage,4,1,1,MEX,Mexico,16,CONCACAF,draw,,,False,completed,1994-06-14,https://www.fifa.com/fifa-world-ranking/men?dateId=id11,https://www.fifa.com/en/tournaments/mens/worldcup/usa1994
1994,1994-07-05,Round of 16,4,2,1,NGA,Nigeria,11,CAF,win,,,True,completed,1994-06-14,https://www.fifa.com/fifa-world-ranking/men?dateId=id11,https://www.fifa.com/en/tournaments/mens/worldcup/usa1994
1994,1994-07-09,Quarter-final,4,2,1,ESP,Spain,5,UEFA,win,,,False,completed,1994-06-14,https://www.fifa.com/fifa-world-ranking/men?dateId=id11,https://www.fifa.com/en/tournaments/mens/worldcup/usa1994
1994,1994-07-13,Semi-final,4,2,1,BUL,Bulgaria,29,UEFA,win,,,False,completed,1994-06-14,https://www.fifa.com/fifa-world-ranking/men?dateId=id11,https://www.fifa.com/en/tournaments/mens/worldcup/usa1994
1998,1998-06-11,Group stage,14,2,2,CHI,Chile,9,CONMEBOL,draw,,,False,completed,1998-05-20,https://web.archive.org/web/20160222025820/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=50/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/france1998
1998,1998-06-17,Group stage,14,3,0,CMR,Cameroon,49,CAF,win,,,False,completed,1998-05-20,https://web.archive.org/web/20160222025820/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=50/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/france1998
1998,1998-06-23,Group stage,14,2,1,AUT,Austria,31,UEFA,win,,,False,completed,1998-05-20,https://web.archive.org/web/20160222025820/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=50/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/france1998
1998,1998-06-27,Round of 16,14,1,0,NOR,Norway,7,UEFA,win,,,False,completed,1998-05-20,https://web.archive.org/web/20160222025820/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=50/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/france1998
1998,1998-07-03,Quarter-final,14,0,0,FRA,France,18,UEFA,loss,3,4,True,completed,1998-05-20,https://web.archive.org/web/20160222025820/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=50/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/france1998
2002,2002-06-03,Group stage,6,2,0,ECU,Ecuador,36,CONMEBOL,win,,,False,completed,2002-05-15,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/koreajapan2002
2002,2002-06-08,Group stage,6,1,2,CRO,Croatia,21,UEFA,loss,,,False,completed,2002-05-15,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/koreajapan2002
2002,2002-06-13,Group stage,6,1,1,MEX,Mexico,7,CONCACAF,draw,,,False,completed,2002-05-15,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/koreajapan2002
2002,2002-06-18,Round of 16,6,1,2,KOR,Korea Republic,40,AFC,loss,,,True,completed,2002-05-15,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/koreajapan2002
2006,2006-06-12,Group stage,13,2,0,GHA,Ghana,48,CAF,win,,,False,completed,2006-05-17,https://inside.fifa.com/fifa-world-ranking,https://www.fifa.com/en/tournaments/mens/worldcup/germany2006
2006,2006-06-17,Group stage,13,1,1,USA,USA,5,CONCACAF,draw,,,False,completed,2006-05-17,https://inside.fifa.com/fifa-world-ranking,https://www.fifa.com/en/tournaments/mens/worldcup/germany2006
2006,2006-06-22,Group stage,13,2,0,CZE,Czechia,2,UEFA,win,,,False,completed,2006-05-17,https://inside.fifa.com/fifa-world-ranking,https://www.fifa.com/en/tournaments/mens/worldcup/germany2006
2006,2006-06-26,Round of 16,13,1,0,AUS,Australia,42,OFC,win,,,False,completed,2006-05-17,https://inside.fifa.com/fifa-world-ranking,https://www.fifa.com/en/tournaments/mens/worldcup/germany2006
