world_cup_year,match_date,stage,team_rank,team_goals,opponent_goals,opponent_code,opponent,opponent_rank,opponent_confederation,result,team_shootout_goals,opponent_shootout_goals,extra_time,status,ranking_date,ranking_source_url,match_source_url
1998,1998-06-14,Group stage,12,0,1,ARG,Argentina,6,CONMEBOL,loss,,,False,completed,1998-05-20,https://web.archive.org/web/20160222025820/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=50/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/france1998
1998,1998-06-20,Group stage,12,0,1,CRO,Croatia,19,UEFA,loss,,,False,completed,1998-05-20,https://web.archive.org/web/20160222025820/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=50/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/france1998
1998,1998-06-26,Group stage,12,1,2,JAM,Jamaica,30,CONCACAF,loss,,,False,completed,1998-05-20,https://web.archive.org/web/20160222025820/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=50/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/france1998
2002,2002-06-04,Group stage,32,2,2,BEL,Belgium,23,UEFA,draw,,,False,completed,2002-05-15,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/koreajapan2002
2002,2002-06-09,Group stage,32,1,0,RUS,Russia,28,UEFA,win,,,False,completed,2002-05-15,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/koreajapan2002
2002,2002-06-14,Group stage,32,2,0,TUN,Tunisia,31,CAF,win,,,False,completed,2002-05-15,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/koreajapan2002
2002,2002-06-18,Round of 16,32,0,1,TUR,Türkiye,22,UEFA,loss,,,False,completed,2002-05-15,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/koreajapan2002
2006,2006-06-12,Group stage,18,1,3,AUS,Australia,42,OFC,loss,,,False,completed,2006-05-17,https://inside.fifa.com/fifa-world-ranking,https://www.fifa.com/en/tournaments/mens/worldcup/germany2006
2006,2006-06-18,Group stage,18,0,0,CRO,Croatia,23,UEFA,draw,,,False,completed,2006-05-17,https://inside.fifa.com/fifa-world-ranking,https://www.fifa.com/en/tournaments/mens/worldcup/germany2006
2006,2006-06-22,Group stage,18,1,4,BRA,Brazil,1,CONMEBOL,loss,,,False,completed,2006-05-17,https://inside.fifa.com/fifa-world-ranking,https://www.fifa.com/en/tournaments/mens/worldcup/germany2006
2010,2010-06-14,Group stage,45,1,0,CMR,Cameroon,19,CAF,win,,,False,completed,2010-05-26,https://web.archive.org/web/20191006015211/https://www.fifa.com/fifa-world-ranking/ranking-table/men/rank/id9054/,https://www.fifa.com/en/tournaments/mens/worldcup/southafrica2010
2010,2010-06-19,Group stage,45,0,1,NED,Netherlands,4,UEFA,loss,,,False,completed,2010-05-26,https://web.archive.org/web/20191006015211/https://www.fifa.com/fifa-world-ranking/ranking-table/men/rank/id9054/,https://www.fifa.com/en/tournaments/mens/worldcup/southafrica2010
2010,2010-06-24,Group stage,45,3,1,DEN,Denmark,36,UEFA,win,,,False,completed,2010-05-26,https://web.archive.org/web/20191006015211/https://www.fifa.com/fifa-world-ranking/ranking-table/men/rank/id9054/,https://www.fifa.com/en/tournaments/mens/worldcup/southafrica2010
2010,2010-06-29,Round of 16,45,0,0,PAR,Paraguay,31,CONMEBOL,loss,3,5,True,completed,2010-05-26,https://web.archive.org/web/20191006015211/https://www.fifa.com/fifa-world-ranking/ranking-table/men/rank/id9054/,https://www.fifa.com/en/tournaments/mens/worldcup/southafrica2010
2014,2014-06-14,Group stage,46,1,2,CIV,Côte d'Ivoire,23,CAF,loss,,,False,completed,2014-06-05,https://web.archive.org/web/20141107005059/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=239/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/brazil2014
2014,2014-06-19,Group stage,46,0,0,GRE,Greece,12,UEFA,draw,,,False,completed,2014-06-05,https://web.archive.org/web/20141107005059/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=239/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/brazil2014
2014,2014-06-24,Group stage,46,1,4,COL,Colombia,8,CONMEBOL,loss,,,False,completed,2014-06-05,https://web.archive.org/web/20141107005059/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=239/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/brazil2014
2018,2018-06-19,Group stage,61,2,1,COL,Colombia,16,CONMEBOL,win,,,False,completed,2018-06-07,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/calculating-russia-2018-s-toughest-groups,https://www.fifa.com/en/tournaments/mens/worldcup/russia2018
2018,2018-06-24,Group stage,61,2,2,SEN,Senegal,27,CAF,draw,,,False,completed,2018-06-07,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/calculating-russia-2018-s-toughest-groups,https://www.fifa.com/en/tournaments/mens/worldcup/russia2018
2018,2018-06-28,Group stage,61,0,1,POL,Poland,8,UEFA,loss,,,False,completed,2018-06-07,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/calculating-russia-2018-s-toughest-groups,https://www.fifa.com/en/tournaments/mens/worldcup/russia2018
2018,2018-07-02,Round of 16,61,2,3,BEL,Belgium,3,UEFA,loss,,,False,completed,2018-06-07,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/calculating-russia-2018-s-toughest-groups,https://www.fifa.com/en/tournaments/mens/worldcup/russia2018
2022,2022-11-23,Group stage,24,2,1,GER,Germany,11,UEFA,win,,,False,completed,2022-10-06,https://www.fifa.com/fifa-world-ranking/mens-ranking?dateId=id13792,https://www.fifa.com/en/tournaments/mens/worldcup/qatar2022
2022,2022-11-27,Group stage,24,0,1,CRC,Costa Rica,31,CONCACAF,loss,,,False,completed,2022-10-06,https://www.fifa.com/fifa-world-ranking/mens-ranking?dateId=id13792,https://www.fifa.com/en/tournaments/mens/worldcup/qatar2022
2022,2022-12-05,Round of 16,24,1,1,CRO,Croatia,12,UEFA,loss,1,3,True,completed,2022-10-06,https://www.fifa.com/fifa-world-ranking/mens-ranking?dateId=id13792,https://www.fifa.com/en/tournaments/mens/worldcup/qatar2022
2026,2026-06-14,Group stage,18,2,2,NED,Netherlands,8,UEFA,draw,,,False,completed,2026-06-11,https://inside.fifa.com/fifa-world-ranking/men?dateId=id11944,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026
2026,2026-06-20,Group stage,18,4,0,TUN,Tunisia,45,CAF,win,,,False,completed,2026-06-11,https://inside.fifa.com/fifa-world-ranking/men?dateId=id11944,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026
2026,2026-06-25,Group stage,18,1,1,SWE,Sweden,38,UEFA,draw,,,False,completed,2026-06-11,https://inside.fifa.com/fifa-world-ranking/men?dateId=id11944,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026
2026,2026-06-29,Group stage,18,1,2,BRA,Brazil,6,CONMEBOL,loss,,,False,completed,2026-06-11,https://inside.fifa.com/fifa-world-ranking/men?dateId=id11944,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026
