world_cup_year,match_date,stage,team_rank,team_goals,opponent_goals,opponent_code,opponent,opponent_rank,opponent_confederation,result,team_shootout_goals,opponent_shootout_goals,extra_time,status,ranking_date,ranking_source_url,match_source_url
2002,2002-05-31,Group stage,42,1,0,FRA,France,1,UEFA,win,,,False,completed,2002-05-15,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/koreajapan2002
2002,2002-06-06,Group stage,42,1,1,DEN,Denmark,20,UEFA,draw,,,False,completed,2002-05-15,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/koreajapan2002
2002,2002-06-11,Group stage,42,3,3,URU,Uruguay,24,CONMEBOL,draw,,,False,completed,2002-05-15,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/koreajapan2002
2002,2002-06-16,Round of 16,42,2,1,SWE,Sweden,19,UEFA,win,,,True,completed,2002-05-15,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/koreajapan2002
2002,2002-06-22,Quarter-final,42,0,1,TUR,Türkiye,22,UEFA,loss,,,True,completed,2002-05-15,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/koreajapan2002
2018,2018-06-19,Group stage,27,2,1,POL,Poland,8,UEFA,win,,,False,completed,2018-06-07,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/calculating-russia-2018-s-toughest-groups,https://www.fifa.com/en/tournaments/mens/worldcup/russia2018
2018,2018-06-24,Group stage,27,2,2,JPN,Japan,61,AFC,draw,,,False,completed,2018-06-07,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/calculating-russia-2018-s-toughest-groups,https://www.fifa.com/en/tournaments/mens/worldcup/russia2018
2018,2018-06-28,Group stage,27,0,1,COL,Colombia,16,CONMEBOL,loss,,,False,completed,2018-06-07,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/calculating-russia-2018-s-toughest-groups,https://www.fifa.com/en/tournaments/mens/worldcup/russia2018
2022,2022-11-21,Group stage,18,0,2,NED,Netherlands,8,UEFA,loss,,,False,completed,2022-10-06,https://www.fifa.com/fifa-world-ranking/mens-ranking?dateId=id13792,https://www.fifa.com/en/tournaments/mens/worldcup/qatar2022
2022,2022-11-25,Group stage,18,3,1,QAT,Qatar,50,AFC,win,,,False,completed,2022-10-06,https://www.fifa.com/fifa-world-ranking/mens-ranking?dateId=id13792,https://www.fifa.com/en/tournaments/mens/worldcup/qatar2022
2022,2022-11-29,Group stage,18,2,1,ECU,Ecuador,44,CONMEBOL,win,,,False,completed,2022-10-06,https://www.fifa.com/fifa-world-ranking/mens-ranking?dateId=id13792,https://www.fifa.com/en/tournaments/mens/worldcup/qatar2022
2022,2022-12-04,Round of 16,18,0,3,ENG,England,5,UEFA,loss,,,False,completed,2022-10-06,https://www.fifa.com/fifa-world-ranking/mens-ranking?dateId=id13792,https://www.fifa.com/en/tournaments/mens/worldcup/qatar2022
2026,2026-06-16,Group stage,15,1,3,FRA,France,3,UEFA,loss,,,False,completed,2026-06-11,https://inside.fifa.com/fifa-world-ranking/men?dateId=id11944,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026
2026,2026-06-22,Group stage,15,2,3,NOR,Norway,31,UEFA,loss,,,False,completed,2026-06-11,https://inside.fifa.com/fifa-world-ranking/men?dateId=id11944,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026
2026,2026-06-26,Group stage,15,5,0,IRQ,Iraq,57,AFC,win,,,False,completed,2026-06-11,https://inside.fifa.com/fifa-world-ranking/men?dateId=id11944,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026
2026,2026-07-01,Group stage,15,2,3,BEL,Belgium,9,UEFA,loss,,,True,completed,2026-06-11,https://inside.fifa.com/fifa-world-ranking/men?dateId=id11944,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026
