world_cup_year,match_date,stage,team_rank,team_goals,opponent_goals,opponent_code,opponent,opponent_rank,opponent_confederation,result,team_shootout_goals,opponent_shootout_goals,extra_time,status,ranking_date,ranking_source_url,match_source_url
1998,1998-06-12,Group stage,24,0,3,FRA,France,18,UEFA,loss,,,False,completed,1998-05-20,https://web.archive.org/web/20160222025820/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=50/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/france1998
1998,1998-06-18,Group stage,24,1,1,DEN,Denmark,27,UEFA,draw,,,False,completed,1998-05-20,https://web.archive.org/web/20160222025820/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=50/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/france1998
1998,1998-06-24,Group stage,24,2,2,KSA,Saudi Arabia,34,AFC,draw,,,False,completed,1998-05-20,https://web.archive.org/web/20160222025820/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=50/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/france1998
2002,2002-06-02,Group stage,37,2,2,PAR,Paraguay,18,CONMEBOL,draw,,,False,completed,2002-05-15,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/koreajapan2002
2002,2002-06-08,Group stage,37,1,0,SVN,Slovenia,25,UEFA,win,,,False,completed,2002-05-15,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/koreajapan2002
2002,2002-06-12,Group stage,37,2,3,ESP,Spain,8,UEFA,loss,,,False,completed,2002-05-15,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/koreajapan2002
2010,2010-06-11,Group stage,83,1,1,MEX,Mexico,17,CONCACAF,draw,,,False,completed,2010-05-26,https://web.archive.org/web/20191006015211/https://www.fifa.com/fifa-world-ranking/ranking-table/men/rank/id9054/,https://www.fifa.com/en/tournaments/mens/worldcup/southafrica2010
2010,2010-06-16,Group stage,83,0,3,URU,Uruguay,16,CONMEBOL,loss,,,False,completed,2010-05-26,https://web.archive.org/web/20191006015211/https://www.fifa.com/fifa-world-ranking/ranking-table/men/rank/id9054/,https://www.fifa.com/en/tournaments/mens/worldcup/southafrica2010
2010,2010-06-22,Group stage,83,2,1,FRA,France,9,UEFA,win,,,False,completed,2010-05-26,https://web.archive.org/web/20191006015211/https://www.fifa.com/fifa-world-ranking/ranking-table/men/rank/id9054/,https://www.fifa.com/en/tournaments/mens/worldcup/southafrica2010
2026,2026-06-11,Group stage,60,0,2,MEX,Mexico,14,CONCACAF,loss,,,False,completed,2026-06-11,https://inside.fifa.com/fifa-world-ranking/men?dateId=id11944,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026
2026,2026-06-18,Group stage,60,1,1,CZE,Czechia,40,UEFA,draw,,,False,completed,2026-06-11,https://inside.fifa.com/fifa-world-ranking/men?dateId=id11944,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026
2026,2026-06-24,Group stage,60,1,0,KOR,Korea Republic,25,AFC,win,,,False,completed,2026-06-11,https://inside.fifa.com/fifa-world-ranking/men?dateId=id11944,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026
2026,2026-06-28,Group stage,60,0,1,CAN,Canada,30,CONCACAF,loss,,,False,completed,2026-06-11,https://inside.fifa.com/fifa-world-ranking/men?dateId=id11944,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026
