world_cup_year,match_date,stage,team_rank,team_goals,opponent_goals,opponent_code,opponent,opponent_rank,opponent_confederation,result,team_shootout_goals,opponent_shootout_goals,extra_time,status,ranking_date,ranking_source_url,match_source_url
1994,1994-06-17,Group stage,5,2,2,KOR,Korea Republic,37,AFC,draw,,,False,completed,1994-06-14,https://www.fifa.com/fifa-world-ranking/men?dateId=id11,https://www.fifa.com/en/tournaments/mens/worldcup/usa1994
1994,1994-06-21,Group stage,5,1,1,GER,Germany,1,UEFA,draw,,,False,completed,1994-06-14,https://www.fifa.com/fifa-world-ranking/men?dateId=id11,https://www.fifa.com/en/tournaments/mens/worldcup/usa1994
1994,1994-06-27,Group stage,5,1,3,BOL,Bolivia,43,CONMEBOL,loss,,,False,completed,1994-06-14,https://www.fifa.com/fifa-world-ranking/men?dateId=id11,https://www.fifa.com/en/tournaments/mens/worldcup/usa1994
1994,1994-07-02,Round of 16,5,3,0,SUI,Switzerland,12,UEFA,win,,,False,completed,1994-06-14,https://www.fifa.com/fifa-world-ranking/men?dateId=id11,https://www.fifa.com/en/tournaments/mens/worldcup/usa1994
1994,1994-07-09,Quarter-final,5,1,2,ITA,Italy,4,UEFA,loss,,,False,completed,1994-06-14,https://www.fifa.com/fifa-world-ranking/men?dateId=id11,https://www.fifa.com/en/tournaments/mens/worldcup/usa1994
1998,1998-06-13,Group stage,15,2,3,NGA,Nigeria,74,CAF,loss,,,False,completed,1998-05-20,https://web.archive.org/web/20160222025820/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=50/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/france1998
1998,1998-06-19,Group stage,15,0,0,PAR,Paraguay,29,CONMEBOL,draw,,,False,completed,1998-05-20,https://web.archive.org/web/20160222025820/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=50/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/france1998
1998,1998-06-24,Group stage,15,6,1,BUL,Bulgaria,35,UEFA,win,,,False,completed,1998-05-20,https://web.archive.org/web/20160222025820/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=50/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/france1998
2002,2002-06-02,Group stage,8,3,1,SVN,Slovenia,25,UEFA,win,,,False,completed,2002-05-15,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/koreajapan2002
2002,2002-06-07,Group stage,8,3,1,PAR,Paraguay,18,CONMEBOL,win,,,False,completed,2002-05-15,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/koreajapan2002
2002,2002-06-12,Group stage,8,3,2,RSA,South Africa,37,CAF,win,,,False,completed,2002-05-15,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/koreajapan2002
